Caller,CallerType,Invoked,InvokedType,FileId,CellId,Line,Column,ExecutionId
notebook.Sample_2. Pipeline Periodically - Mobility Trip,Module,notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,1,17,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip,Module,notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,4,21,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.main,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.run_simple_sanity_check,Function,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,39,15,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.geo_to_h3,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,41,38,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res9_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,42,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res8_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,43,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,44,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip,Module,notebook.Sample_2. Pipeline Periodically - Mobility Trip.main,Function,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,46,5,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.haversine_distance,Function,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,66,42,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.geo_to_h3,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,74,38,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res9_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,75,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res8_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,76,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,77,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,106,44,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,109,37,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,111,34,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,146,38,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.to_parent_res7_udf,Variable,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,147,38,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_2. Pipeline Periodically - Mobility Trip.data_cerdas_trip_mobility_trip,Function,notebook.Sample_2. Pipeline Periodically - Mobility Trip.haversine_distance,Function,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,0,182,44,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_3a. Pipeline Periodically - Tourism,Module,notebook.Sample_3a. Pipeline Periodically - Tourism.generate_tourism,Function,Sample_3a. Pipeline Periodically - Tourism.ipynb,0,4,15,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_3a. Pipeline Periodically - Tourism,Module,notebook.Sample_3a. Pipeline Periodically - Tourism.generate_tourism,Function,Sample_3a. Pipeline Periodically - Tourism.ipynb,0,8,11,a1cbc006-17c0-4db1-a282-bccf0e51f12f
