,h3_8,h3_9,zone_id,zone_code,zone_category,h3_population_constrained,n_accomadation,unique_accomadation_category
1442,888c107aadfffff,898c107aacfffff,3171080#898c107aacfffff#z1,z1,housing_area,667,0,0
1443,888c107851fffff,898c107850bffff,3171080#898c107850bffff#z2,z2,hotel_area,1454,1,0
1444,888c10781bfffff,898c10781b7ffff,3171080#898c10781b7ffff#z1,z1,housing_area,886,0,0
1445,888c107819fffff,898c1078187ffff,3171080#898c1078187ffff#z2,z2,hotel_area,969,1,1
1446,888c107851fffff,898c1078517ffff,3171080#898c1078517ffff#z1,z1,housing_area,579,0,0
1447,888c10781bfffff,898c10781afffff,3171080#898c10781afffff#z1,z1,housing_area,826,0,0
1448,888c107819fffff,898c107818fffff,3171080#898c107818fffff#z1,z1,housing_area,274,0,0
1449,888c1078c9fffff,898c1078c93ffff,3171080#898c1078c93ffff#z1,z1,housing_area,540,0,0
1450,888c107819fffff,898c1078193ffff,3171080#898c1078193ffff#z1,z1,housing_area,418,0,0
1451,888c107aa5fffff,898c107aa43ffff,3171080#898c107aa43ffff#z2,z2,hotel_area,1115,1,1
1452,888c107aa3fffff,898c107aa37ffff,3171080#898c107aa37ffff#z1,z1,housing_area,411,0,0
1453,888c107aa7fffff,898c107aa77ffff,3171080#898c107aa77ffff#z1,z1,housing_area,1322,0,0
1454,888c107aabfffff,898c107aaa7ffff,3171080#898c107aaa7ffff#z1,z1,housing_area,807,0,0
1455,888c107857fffff,898c1078577ffff,3171080#898c1078577ffff#z1,z1,housing_area,1225,0,0
1456,888c107819fffff,898c1078183ffff,3171080#898c1078183ffff#z1,z1,housing_area,1096,0,0
1457,888c107aa1fffff,898c107aa0fffff,3171080#898c107aa0fffff#z1,z1,housing_area,679,0,0
1458,888c107aa3fffff,898c107aa33ffff,3171080#898c107aa33ffff#z1,z1,housing_area,805,0,0
1459,888c107855fffff,898c1078547ffff,3171080#898c1078547ffff#z1,z1,housing_area,903,0,0
1460,888c107aa3fffff,898c107aa23ffff,3171080#898c107aa23ffff#z1,z1,housing_area,543,0,0
1461,888c107aabfffff,898c107aaabffff,3171080#898c107aaabffff#z1,z1,housing_area,1073,0,0
1462,888c107857fffff,898c1078563ffff,3171080#898c1078563ffff#z1,z1,housing_area,675,0,0
1463,888c107853fffff,898c1078533ffff,3171080#898c1078533ffff#z2,z2,hotel_area,698,1,1
1464,888c10781bfffff,898c10781a3ffff,3171080#898c10781a3ffff#z1,z1,housing_area,979,0,0
1465,888c107853fffff,898c1078523ffff,3171080#898c1078523ffff#z1,z1,housing_area,415,0,0
1466,888c107853fffff,898c1078527ffff,3171080#898c1078527ffff#z1,z1,housing_area,141,0,0
1467,888c10785bfffff,898c10785bbffff,3171080#898c10785bbffff#z1,z1,housing_area,663,0,0
1468,888c107819fffff,898c107819bffff,3171080#898c107819bffff#z2,z2,hotel_area,279,1,1
1469,888c107aa1fffff,898c107aa03ffff,3171080#898c107aa03ffff#z2,z2,hotel_area,413,1,1
1470,888c10785bfffff,898c10785a3ffff,3171080#898c10785a3ffff#z1,z1,housing_area,1588,0,0
1471,888c10785bfffff,898c10785b7ffff,3171080#898c10785b7ffff#z1,z1,housing_area,930,0,0
1472,888c107851fffff,898c1078503ffff,3171080#898c1078503ffff#z1,z1,housing_area,1527,0,0
1473,888c107aa7fffff,898c107aa67ffff,3171080#898c107aa67ffff#z1,z1,housing_area,796,0,0
1474,888c107aa1fffff,898c107aa13ffff,3171080#898c107aa13ffff#z1,z1,housing_area,560,0,0
1475,888c107aa1fffff,898c107aa0bffff,3171080#898c107aa0bffff#z1,z1,housing_area,824,0,0
1476,888c107aa5fffff,898c107aa47ffff,3171080#898c107aa47ffff#z1,z1,housing_area,418,0,0
1477,888c107851fffff,898c1078507ffff,3171080#898c1078507ffff#z1,z1,housing_area,1377,0,0
1478,888c107855fffff,898c107854fffff,3171080#898c107854fffff#z1,z1,housing_area,1042,0,0
1479,888c10780bfffff,898c10780b7ffff,3171080#898c10780b7ffff#z1,z1,housing_area,558,0,0
1480,888c10785bfffff,898c10785b3ffff,3171080#898c10785b3ffff#z1,z1,housing_area,1601,0,0
1481,888c107853fffff,898c107852bffff,3171080#898c107852bffff#z2,z2,hotel_area,827,1,1
1482,888c107811fffff,898c1078117ffff,3171080#898c1078117ffff#z2,z2,hotel_area,702,2,1
1483,888c10781dfffff,898c10781d3ffff,3171080#898c10781d3ffff#z2,z2,hotel_area,280,1,1
